id,level_0,level_1,level_2,level_3,level_4,level_5,segment_name
40014369,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Subaru,-,Subaru XV
40015189,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Subaru,-,Subaru Forester
40014365,Aidata,Transport,Auto buyers and fans,Brand auto buyers,SsangYoung,-,SsangYong Actyon
40015138,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada Priora
40015136,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada 4x4
40015134,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada Largus
40015133,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada Vesta
40015135,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada XRAY
40015139,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada Largus VU
40015137,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada Kalina
40015132,Aidata,Transport,Auto buyers and fans,Brand auto buyers,VAZ,-,Lada Granta
40015116,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Audi,-,Audi A6
40015351,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Audi,-,Audi A7
40015118,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Audi,-,Audi A4
40010098,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Audi,-,Audi Q7
40015117,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Audi,-,Audi Q5
40014368,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Honda,-,Honda CRX
40015179,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Honda,-,Honda CR-V
40014380,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Honda,-,Honda Accord
40014366,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mitsubishi,-,Mitsubishi Outlander
40015186,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Mitsubishi,-,Mitsubishi Pajero Sport New
40014371,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Suzuki,-,Suzuki SX4
40014779,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Suzuki,-,Suzuki Grand Vitara
40014484,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Suzuki,-,Suzuki Vitara
40015153,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volvo,-,Volvo XC60 (156)
40015154,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Volvo,-,Volvo XC90 New
40010172,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Nissan,-,Nissan Juke
40015188,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Nissan,-,Nissan New Murano
40014781,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Nissan,-,Nissan X-Trail
40010037,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Nissan,-,Nissan Murano
40015187,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Nissan,-,Nissan Terrano
40010171,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Nissan,-,Nissan Almera
40014347,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Nissan,-,Nissan Qashqai
40015176,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Chery,-,Chery Tiggo 3
40015149,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ravon,-,Ravon R2
40015150,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ravon,-,Ravon R4
40015148,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ravon,-,Ravon Nexia R3
40015121,Aidata,Transport,Auto buyers and fans,Brand auto buyers,BMW,-,BMW X1
40015348,Aidata,Transport,Auto buyers and fans,Brand auto buyers,BMW,-,BMW 5 Series
40015122,Aidata,Transport,Auto buyers and fans,Brand auto buyers,BMW,-,BMW X3
40015119,Aidata,Transport,Auto buyers and fans,Brand auto buyers,BMW,-,BMW X6
40015120,Aidata,Transport,Auto buyers and fans,Brand auto buyers,BMW,-,BMW 3
40014991,Aidata,Transport,Auto buyers and fans,Brand auto buyers,BMW,-,BMW X5
40011200,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Chevrolet,-,Chevrolet Cruze
40011203,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Chevrolet,-,Chevrolet Lanos
40011201,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Chevrolet,-,Chevrolet Aveo
40011202,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Chevrolet,-,Chevrolet Lacetti
40015173,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Chevrolet,-,Chevrolet NIVA
40015180,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Landrover,-,Land Rover Range Rover
40014352,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Hyundai,-,Hyundai Creta
40014364,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Hyundai,-,Hyndai IX 35
40015128,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Hyundai,-,Hyundai Solaris
40015130,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Hyundai,-,Hyundai Elantra
40015129,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Hyundai,-,Hyundai Santa Fe
40015131,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Hyundai,-,Hyundai i40
40014353,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Hyundai,-,Hyundai Tucson
40015124,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ford,-,Ford Transit
40015125,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ford,-,Ford Fiesta
40015127,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ford,-,Ford Explorer
40014370,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ford,-,Ford Kuga
40015123,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ford,-,Ford Focus
40015126,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ford,-,Ford Mondeo
40014349,Aidata,Transport,Auto buyers and fans,Brand auto buyers,Ford,-,Ford Ecosport
90111021,Aidata,Food and drink,Nutritional foods,Beverages,-,-,Non-alcoholic beverages
90111019,Aidata,Food and drink,Nutritional foods,Beverages,-,-,Alcoholic beverages
40014628,Aidata,Family and parenting,Parenting children,Babies_0-1 years,-,-,Parenting Babies_7-12 months
40014627,Aidata,Family and parenting,Parenting children,Babies_0-1 years,-,-,Parenting Babies_0-6 months
90114014,Aidata,Family and parenting,Parenting children,Children goods,-,-,Baby food buyers
40011193,Aidata,Family and parenting,Parenting children,Children goods,-,-,Pampers and babies skin care
90114015,Aidata,Family and parenting,Parenting children,Children goods,-,-,Toys and games buyers
40014545,Aidata,Entertainment,Gaming,Online games,-,-,MOBA gamers
40010263,Aidata,Entertainment,Gaming,Online games,-,-,MMORPG gaming
40010394,Aidata,Entertainment,Gaming,Online games,-,-,Children games
40010611,Aidata,Entertainment,Gaming,Gambling players,-,-,Bookmakers
90110088,Aidata,Entertainment,Gaming,Gambling players,-,-,Lottery
40014567,Aidata,Entertainment,Gaming,Gambling players,-,-,Casino online
90113041,Aidata,Technology and electronics,Brand electronics,Android,-,-,Android OS smartphones users
90113048,Aidata,Technology and electronics,Brand electronics,Other,-,-,Chinese mobile phones buyers
90113046,Aidata,Technology and electronics,Brand electronics,Other,-,-,Samsung smartphones users
90113047,Aidata,Technology and electronics,Brand electronics,Other,-,-,Nokia smartphones users
40010056,Aidata,Technology and electronics,Brand electronics,Apple,-,-,Apple accessories
90113044,Aidata,Technology and electronics,Brand electronics,Apple,-,-,iPhone fans
90113021,Aidata,Technology and electronics,Computers,Computer accessories,-,-,Monitors
90113022,Aidata,Technology and electronics,Computers,Computer accessories,-,-,Printers
90113020,Aidata,Technology and electronics,Computers,Computer accessories,-,-,Peripherals
90113006,Aidata,Technology and electronics,Computers,Computer software,-,-,Website hosting
90113010,Aidata,Technology and electronics,Computers,Computer software,-,-,Online soft buyers
90113011,Aidata,Technology and electronics,Computers,Computer software,-,-,3d designers and clients
90113013,Aidata,Technology and electronics,Computers,Computer software,-,-,Photoshop users
40010011,Aidata,Technology and electronics,Computers,Computer software,-,-,Network security
90113012,Aidata,Technology and electronics,Computers,Computer software,-,-,Web programmers and web designers
90113009,Aidata,Technology and electronics,Computers,Computer software,-,-,Programmers
90113003,Aidata,Technology and electronics,Computers,Computer software,-,-,Operating systems
90113028,Aidata,Technology and electronics,Mobile goods,Mobile phones,-,-,Mobile phones owners
90113030,Aidata,Technology and electronics,Mobile goods,Mobile phones,-,-,Studying information about mobile phones
90113029,Aidata,Technology and electronics,Mobile goods,Mobile phones,-,-,Smartphone owners
90113033,Aidata,Technology and electronics,Mobile goods,Gadgets,-,-,Headphones
40015612,Aidata,Technology and electronics,Mobile goods,Gadgets,-,-,Smart watches
40014988,Aidata,Beauty and fashion,Beauty care,Fragrances,-,-,Mens perfume
40010767,Aidata,Beauty and fashion,Beauty care,Skin care,-,-,Lipstick
40010307,Aidata,Beauty and fashion,Beauty care,Skin care,-,-,Cosmetics
40010305,Aidata,Beauty and fashion,Beauty care,Skin care,-,-,Antiperspirants and deodorants
40014590,Aidata,Travel,Location (city/state/country),Latin America,-,-,Dominican Republic
40010004,Aidata,Travel,Location (city/state/country),Africa,-,-,Egypt
40010295,Aidata,Travel,Location (city/state/country),North America,-,-,USA
40014600,Aidata,Travel,Location (city/state/country),North America,-,-,Travellers to Cuba
40010296,Aidata,Travel,Location (city/state/country),North America,-,-,Canada
40010617,Aidata,Travel,Location (city/state/country),Russia,-,-,Barnaul travel
40015215,Aidata,Travel,Location (city/state/country),Russia,-,-,Kamchatka travel
40010618,Aidata,Travel,Location (city/state/country),Russia,-,-,Novy Urengoy travel
40010616,Aidata,Travel,Location (city/state/country),Russia,-,-,Ekaterinburg travel
40010613,Aidata,Travel,Location (city/state/country),Russia,-,-,Moscow travel
40010615,Aidata,Travel,Location (city/state/country),Russia,-,-,Samara travel
40010614,Aidata,Travel,Location (city/state/country),Russia,-,-,Saint-Petersburg travel
90106049,Aidata,Travel,Location (city/state/country),Russia,-,-,Searching tour in Krasnodar region and Abkhazia
90106048,Aidata,Travel,Location (city/state/country),Russia,-,-,Searching tour in Crimea
40010273,Aidata,Travel,Location (city/state/country),Europe,-,-,Netherlands
40010400,Aidata,Travel,Location (city/state/country),Europe,-,-,Switzerland
40010005,Aidata,Travel,Location (city/state/country),Europe,-,-,Turkey
40010008,Aidata,Travel,Location (city/state/country),Europe,-,-,Spain
40010007,Aidata,Travel,Location (city/state/country),Europe,-,-,Croatia
40010006,Aidata,Travel,Location (city/state/country),Europe,-,-,Greece
40014405,Aidata,Travel,Location (city/state/country),Europe,-,-,Hungary
40015419,Aidata,Travel,Location (city/state/country),Europe,-,-,Czech Republic
40010272,Aidata,Travel,Location (city/state/country),Europe,-,-,Italy
40010275,Aidata,Travel,Location (city/state/country),Europe,-,-,United Kingdom
40010250,Aidata,Travel,Location (city/state/country),Europe,-,-,France
40010063,Aidata,Travel,Location (city/state/country),Europe,-,-,Norway
40010274,Aidata,Travel,Location (city/state/country),Europe,-,-,Portugal
40014630,Aidata,Travel,Location (city/state/country),Europe,-,-,Cyprus
40010251,Aidata,Travel,Location (city/state/country),Europe,-,-,Germany
40014376,Aidata,Travel,Location (city/state/country),Asia,-,-,Vietnam
40014598,Aidata,Travel,Location (city/state/country),Asia,-,-,Maldives
40014964,Aidata,Travel,Location (city/state/country),Asia,-,-,Georgia fans
40010207,Aidata,Travel,Location (city/state/country),Asia,-,-,Thailand
40010276,Aidata,Travel,Location (city/state/country),Asia,-,-,China
40010280,Aidata,Travel,Location (city/state/country),Asia,-,-,Philippines
40010283,Aidata,Travel,Location (city/state/country),Asia,-,-,Malaysia
40015406,Aidata,Travel,Location (city/state/country),Asia,-,-,India
40010282,Aidata,Travel,Location (city/state/country),Asia,-,-,Korea
40010281,Aidata,Travel,Location (city/state/country),Asia,-,-,Singapore
40010206,Aidata,Travel,Location (city/state/country),Asia,-,-,Indonesia
40010279,Aidata,Travel,Location (city/state/country),Asia,-,-,Japan
40010278,Aidata,Travel,Location (city/state/country),Asia,-,-,Hong Kong
40015012,Aidata,Travel,Travel services,Flights,-,-,Airports
90107005,Aidata,Home and garden,Home improvement,"Ac, heating and ventilation",-,-,Interested heating systems
40010029,Aidata,Home and garden,Home improvement,"Ac, heating and ventilation",-,-,Air-conditioner
40010641,Aidata,Home and garden,Home improvement,Kitchen equipment,-,-,Dishwashing machines
90107024,Aidata,Home and garden,Home improvement,Kitchen equipment,-,-,Multi-cookers
40015025,Aidata,Home and garden,Home improvement,Furniture and interior,-,-,Interior goods
40010759,Aidata,Home and garden,Home improvement,Furniture and interior,-,-,Upholstered furniture
40015302,Aidata,Home and garden,Home improvement,Bedroom arrangement,-,-,Mattresses
40014815,Aidata,"Arts, culture & literature",Literature,Books,-,-,Stephen King fans
90116003,Aidata,"Arts, culture & literature",Literature,Books,-,-,Autobiography literature
90116005,Aidata,"Arts, culture & literature",Literature,Books,-,-,Manga literature
90116006,Aidata,"Arts, culture & literature",Literature,Books,-,-,Fans of audiobooks
90116004,Aidata,"Arts, culture & literature",Literature,Books,-,-,Poetry literature
40014749,Aidata,Finance,Personal finance services,Loans,-,-,Refinancing of loans
90103125,Aidata,Finance,Personal finance services,Loans,-,-,Interested in car loan
90103124,Aidata,Finance,Personal finance services,Loans,-,-,Interested in consumer loans
40010406,Aidata,Finance,Personal finance services,Loans,-,-,Micro credits
40010028,Aidata,Finance,Personal finance services,Loans,-,-,Mortgage
40010208,Aidata,Finance,Personal finance services,Banking,-,-,Checking and savings
40010416,Aidata,Finance,Personal finance services,Banking,-,-,Atm users
90103140,Aidata,Finance,Personal finance services,Banking,-,-,Remittances
40014392,Aidata,Finance,Personal finance services,Banking,-,-,Bank travel cards
40010239,Aidata,Finance,Personal finance services,Banking,-,-,Credit cards
90103138,Aidata,Finance,Personal finance services,Insurance,-,-,Homeowners insurance
40010244,Aidata,Finance,Personal finance services,Insurance,-,-,Personal and health insurance
90103137,Aidata,Finance,Personal finance services,Insurance,-,-,Credit insurance
40010241,Aidata,Finance,Personal finance services,Insurance,-,-,Auto insurance
40010243,Aidata,Finance,Personal finance services,Insurance,-,-,Property insurance
40014836,Aidata,Real estate,Price type,Elite estate,-,-,Elite estate_Moscow
50000062,Aidata,Real estate,Estate type,Urban estate,-,-,"Rooms, shares"
